subject_id	predicate_id	object_id	mapping_justification	mapping_set	mapping_set_version	mapping_set_license	mapping_set_confidence	author_id	comment
mesh:D066195	skos:exactMatch	uberon:0004725	semapv:MappingInversion	biomappings			1.0		uberon:0004725 mesh:D066195
mesh:D054239	skos:exactMatch	uberon:0004749	semapv:MappingInversion	biomappings			1.0		uberon:0004749 mesh:D054239
mesh:D054024	skos:exactMatch	uberon:0005290	semapv:MappingInversion	biomappings			1.0		uberon:0005290 mesh:D054024
mesh:D049033	skos:exactMatch	uberon:0005335	semapv:MappingInversion	biomappings			1.0		uberon:0005335 mesh:D049033
mesh:D066328	skos:exactMatch	uberon:0005403	semapv:MappingInversion	biomappings			1.0		uberon:0005403 mesh:D066328
bto:0006267	skos:exactMatch	uberon:0005408	semapv:MappingInversion	biomappings			1.0		uberon:0005408 bto:0006267
mesh:D066280	skos:exactMatch	uberon:0005408	semapv:MappingInversion	biomappings			1.0		uberon:0005408 mesh:D066280
mesh:D054326	skos:exactMatch	uberon:0005438	semapv:MappingInversion	biomappings			1.0		uberon:0005438 mesh:D054326
mesh:D000080869	skos:exactMatch	uberon:0005456	semapv:MappingInversion	biomappings			1.0		uberon:0005456 mesh:D000080869
bto:0006179	skos:exactMatch	uberon:0005498	semapv:MappingInversion	biomappings			1.0		uberon:0005498 bto:0006179
mesh:D005321	skos:exactMatch	uberon:0005631	semapv:MappingInversion	biomappings			1.0		uberon:0005631 mesh:D005321
mesh:D063194	skos:exactMatch	uberon:0005742	semapv:MappingInversion	biomappings			1.0		uberon:0005742 mesh:D063194
mesh:D050533	skos:exactMatch	uberon:0005777	semapv:MappingInversion	biomappings			1.0		uberon:0005777 mesh:D050533
mesh:D000071039	skos:exactMatch	uberon:0006083	semapv:MappingInversion	biomappings			1.0		uberon:0006083 mesh:D000071039
mesh:D066276	skos:exactMatch	uberon:0006108	semapv:MappingInversion	biomappings			1.0		uberon:0006108 mesh:D066276
mesh:D000070616	skos:exactMatch	uberon:0006444	semapv:MappingInversion	biomappings			1.0		uberon:0006444 mesh:D000070616
mesh:D010614	skos:exactMatch	uberon:0006562	semapv:MappingInversion	biomappings			1.0		uberon:0006562 mesh:D010614
mesh:D000069592	skos:exactMatch	uberon:0006588	semapv:MappingInversion	biomappings			1.0		uberon:0006588 mesh:D000069592
mesh:D012404	skos:exactMatch	uberon:0006589	semapv:MappingInversion	biomappings			1.0		uberon:0006589 mesh:D012404
mesh:D000070606	skos:exactMatch	uberon:0006614	semapv:MappingInversion	biomappings			1.0		uberon:0006614 mesh:D000070606
mesh:D055422	skos:exactMatch	uberon:0006675	semapv:MappingInversion	biomappings			1.0		uberon:0006675 mesh:D055422
mesh:D000080383	skos:exactMatch	uberon:0006812	semapv:MappingInversion	biomappings			1.0		uberon:0006812 mesh:D000080383
mesh:D008470	skos:exactMatch	uberon:0007109	semapv:MappingInversion	biomappings			1.0		uberon:0007109 mesh:D008470
mesh:D060226	skos:exactMatch	uberon:0007132	semapv:MappingInversion	biomappings			1.0		uberon:0007132 mesh:D060226
mesh:D049631	skos:exactMatch	uberon:0007268	semapv:MappingInversion	biomappings			1.0		uberon:0007268 mesh:D049631
mesh:D010183	skos:exactMatch	uberon:0007329	semapv:MappingInversion	biomappings			1.0		uberon:0007329 mesh:D010183
mesh:D066267	skos:exactMatch	uberon:0007412	semapv:MappingInversion	biomappings			1.0		uberon:0007412 mesh:D066267
mesh:D065835	skos:exactMatch	uberon:0007632	semapv:MappingInversion	biomappings			1.0		uberon:0007632 mesh:D065835
mesh:D065823	skos:exactMatch	uberon:0007634	semapv:MappingInversion	biomappings			1.0		uberon:0007634 mesh:D065823
bto:0006128	skos:exactMatch	uberon:0007703	semapv:MappingInversion	biomappings			1.0		uberon:0007703 bto:0006128
mesh:D013133	skos:exactMatch	uberon:0007703	semapv:MappingInversion	biomappings			1.0		uberon:0007703 mesh:D013133
mesh:D010513	skos:exactMatch	uberon:0008266	semapv:MappingInversion	biomappings			1.0		uberon:0008266 mesh:D010513
bto:0006219	skos:exactMatch	uberon:0008904	semapv:MappingInversion	biomappings			1.0		uberon:0008904 bto:0006219
mesh:D001050	skos:exactMatch	uberon:0008974	semapv:MappingInversion	biomappings			1.0		uberon:0008974 mesh:D001050
bto:0006250	skos:exactMatch	uberon:0009127	semapv:MappingInversion	biomappings			1.0		uberon:0009127 bto:0006250
mesh:D043143	skos:exactMatch	uberon:0010264	semapv:MappingInversion	biomappings			1.0		uberon:0010264 mesh:D043143
bto:0006051	skos:exactMatch	uberon:0011004	semapv:MappingInversion	biomappings			1.0		uberon:0011004 bto:0006051
mesh:D052737	skos:exactMatch	uberon:0011119	semapv:MappingInversion	biomappings			1.0		uberon:0011119 mesh:D052737
mesh:D057071	skos:exactMatch	uberon:0011166	semapv:MappingInversion	biomappings			1.0		uberon:0011166 mesh:D057071
mesh:D060525	skos:exactMatch	uberon:0011390	semapv:MappingInversion	biomappings			1.0		uberon:0011390 mesh:D060525
bto:0006241	skos:exactMatch	uberon:0011895	semapv:MappingInversion	biomappings			1.0		uberon:0011895 bto:0006241
bto:0006312	skos:exactMatch	uberon:0011905	semapv:MappingInversion	biomappings			1.0		uberon:0011905 bto:0006312
bto:0006363	skos:exactMatch	uberon:0013218	semapv:MappingInversion	biomappings			1.0		uberon:0013218 bto:0006363
mesh:D000080884	skos:exactMatch	uberon:0013422	semapv:MappingInversion	biomappings			1.0		uberon:0013422 mesh:D000080884
bto:0006188	skos:exactMatch	uberon:0013755	semapv:MappingInversion	biomappings			1.0		uberon:0013755 bto:0006188
bto:0006187	skos:exactMatch	uberon:0013756	semapv:MappingInversion	biomappings			1.0		uberon:0013756 bto:0006187
mesh:D012132	skos:exactMatch	uberon:0014398	semapv:MappingInversion	biomappings			1.0		uberon:0014398 mesh:D012132
mesh:D066277	skos:exactMatch	uberon:0014537	semapv:MappingInversion	biomappings			1.0		uberon:0014537 mesh:D066277
bto:0001350	skos:exactMatch	uberon:0015169	semapv:MappingInversion	biomappings			1.0		uberon:0015169 bto:0001350
mesh:D013497	skos:exactMatch	uberon:0015488	semapv:MappingInversion	biomappings			1.0		uberon:0015488 mesh:D013497
mesh:D012785	skos:exactMatch	uberon:0016884	semapv:MappingInversion	biomappings			1.0		uberon:0016884 mesh:D012785
mesh:D057070	skos:exactMatch	uberon:0018144	semapv:MappingInversion	biomappings			1.0		uberon:0018144 mesh:D057070
bto:0006193	skos:exactMatch	uberon:0034971	semapv:MappingInversion	biomappings			1.0		uberon:0034971 bto:0006193
mesh:D001016	skos:exactMatch	uberon:0034971	semapv:MappingInversion	biomappings			1.0		uberon:0034971 mesh:D001016
mesh:D000071596	skos:exactMatch	uberon:0035032	semapv:MappingInversion	biomappings			1.0		uberon:0035032 mesh:D000071596
bto:0006341	skos:exactMatch	uberon:0035050	semapv:MappingInversion	biomappings			1.0		uberon:0035050 bto:0006341
mesh:D000080886	skos:exactMatch	uberon:0035618	semapv:MappingInversion	biomappings			1.0		uberon:0035618 mesh:D000080886
mesh:D000077502	skos:exactMatch	uberon:0036145	semapv:MappingInversion	biomappings			1.0		uberon:0036145 mesh:D000077502
bto:0003084	skos:exactMatch	uberon:0036243	semapv:MappingInversion	biomappings			1.0		uberon:0036243 bto:0003084
bto:0006476	skos:exactMatch	uberon:2000293	semapv:MappingInversion	biomappings			1.0		uberon:2000293 bto:0006476
bto:0006431	skos:exactMatch	uberon:2000297	semapv:MappingInversion	biomappings			1.0		uberon:2000297 bto:0006431
bto:0002149	skos:exactMatch	uberon:2000356	semapv:MappingInversion	biomappings			1.0		uberon:2000356 bto:0002149
mesh:D008371	skos:exactMatch	uberon:2001553	semapv:MappingInversion	biomappings			1.0		uberon:2001553 mesh:D008371
bto:0004724	skos:exactMatch	uberon:3010463	semapv:MappingInversion	biomappings			1.0		uberon:3010463 bto:0004724
bto:0002254	skos:exactMatch	uberon:3010586	semapv:MappingInversion	biomappings			1.0		uberon:3010586 bto:0002254
bto:0004652	skos:exactMatch	uberon:4000163	semapv:MappingInversion	biomappings			1.0		uberon:4000163 bto:0004652
bto:0001827	skos:exactMatch	uberon:4000164	semapv:MappingInversion	biomappings			1.0		uberon:4000164 bto:0001827
bto:0001477	skos:exactMatch	uberon:4300194	semapv:MappingInversion	biomappings			1.0		uberon:4300194 bto:0001477
bto:0006534	skos:exactMatch	uberon:8440012	semapv:MappingInversion	biomappings			1.0		uberon:8440012 bto:0006534
bto:0006338	skos:exactMatch	uberon:8450002	semapv:MappingInversion	biomappings			1.0		uberon:8450002 bto:0006338
bto:0004569	skos:exactMatch	uberon:8480040	semapv:MappingInversion	biomappings			1.0		uberon:8480040 bto:0004569
ncit:C32040	skos:exactMatch	mesh:D000009	semapv:MappingInversion	biomappings			1.0		mesh:D000009 ncit:C32040
ncit:C32038	skos:exactMatch	mesh:D001012	semapv:MappingInversion	biomappings			1.0		mesh:D001012 ncit:C32038
ncit:C12380	skos:exactMatch	mesh:D001065	semapv:MappingInversion	biomappings			1.0		mesh:D001065 ncit:C12380
ncit:C32635	skos:exactMatch	mesh:D005624	semapv:MappingInversion	biomappings			1.0		mesh:D005624 ncit:C32635
ncit:C94192	skos:exactMatch	mesh:D005744	semapv:MappingInversion	biomappings			1.0		mesh:D005744 ncit:C94192
ncit:C32656	skos:exactMatch	mesh:D005753	semapv:MappingInversion	biomappings			1.0		mesh:D005753 ncit:C32656
ncit:C12824	skos:exactMatch	mesh:D016909	semapv:MappingInversion	biomappings			1.0		mesh:D016909 ncit:C12824
ncit:C33497	skos:exactMatch	mesh:D017006	semapv:MappingInversion	biomappings			1.0		mesh:D017006 ncit:C33497
ncit:C111122	skos:exactMatch	mesh:D017072	semapv:MappingInversion	biomappings			1.0		mesh:D017072 ncit:C111122
ncit:C77608	skos:exactMatch	mesh:D034861	semapv:MappingInversion	biomappings			1.0		mesh:D034861 ncit:C77608
