subject_id	predicate_id	object_id	mapping_justification	mapping_set	mapping_set_version	mapping_set_license	mapping_set_confidence	author_id	comment
uberon:0002242	skos:exactMatch	mesh:D000070614	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D000070614	skos:exactMatch	uberon:0002242	semapv:MappingInversion	biomappings			1.0		uberon:0002242 mesh:D000070614
uberon:0002262	skos:exactMatch	bto:0006296	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0003-4423-4370	
bto:0006296	skos:exactMatch	uberon:0002262	semapv:MappingInversion	biomappings			1.0		uberon:0002262 bto:0006296
uberon:0002316	skos:exactMatch	mesh:D066127	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D066127	skos:exactMatch	uberon:0002316	semapv:MappingInversion	biomappings			1.0		uberon:0002316 mesh:D066127
uberon:0002373	skos:exactMatch	mesh:D014066	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D014066	skos:exactMatch	uberon:0002373	semapv:MappingInversion	biomappings			1.0		uberon:0002373 mesh:D014066
uberon:0002396	skos:exactMatch	mesh:D055172	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D055172	skos:exactMatch	uberon:0002396	semapv:MappingInversion	biomappings			1.0		uberon:0002396 mesh:D055172
uberon:0002409	skos:exactMatch	mesh:D000069236	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D000069236	skos:exactMatch	uberon:0002409	semapv:MappingInversion	biomappings			1.0		uberon:0002409 mesh:D000069236
uberon:0002412	skos:exactMatch	bto:0006196	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0003-4423-4370	
bto:0006196	skos:exactMatch	uberon:0002412	semapv:MappingInversion	biomappings			1.0		uberon:0002412 bto:0006196
uberon:0002430	skos:exactMatch	bto:0006481	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0003-4423-4370	
bto:0006481	skos:exactMatch	uberon:0002430	semapv:MappingInversion	biomappings			1.0		uberon:0002430 bto:0006481
uberon:0002469	skos:exactMatch	mesh:D000071041	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D000071041	skos:exactMatch	uberon:0002469	semapv:MappingInversion	biomappings			1.0		uberon:0002469 mesh:D000071041
uberon:0002493	skos:exactMatch	mesh:D055988	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D055988	skos:exactMatch	uberon:0002493	semapv:MappingInversion	biomappings			1.0		uberon:0002493 mesh:D055988
uberon:0002540	skos:exactMatch	mesh:D053403	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D053403	skos:exactMatch	uberon:0002540	semapv:MappingInversion	biomappings			1.0		uberon:0002540 mesh:D053403
uberon:0002600	skos:exactMatch	mesh:D065726	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D065726	skos:exactMatch	uberon:0002600	semapv:MappingInversion	biomappings			1.0		uberon:0002600 mesh:D065726
uberon:0002623	skos:exactMatch	mesh:D065850	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D065850	skos:exactMatch	uberon:0002623	semapv:MappingInversion	biomappings			1.0		uberon:0002623 mesh:D065850
uberon:0002625	skos:exactMatch	bto:0006168	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0003-4423-4370	
bto:0006168	skos:exactMatch	uberon:0002625	semapv:MappingInversion	biomappings			1.0		uberon:0002625 bto:0006168
uberon:0002631	skos:exactMatch	mesh:D065843	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D065843	skos:exactMatch	uberon:0002631	semapv:MappingInversion	biomappings			1.0		uberon:0002631 mesh:D065843
uberon:0002639	skos:exactMatch	mesh:D066265	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D066265	skos:exactMatch	uberon:0002639	semapv:MappingInversion	biomappings			1.0		uberon:0002639 mesh:D066265
uberon:0002682	skos:exactMatch	mesh:D065827	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D065827	skos:exactMatch	uberon:0002682	semapv:MappingInversion	biomappings			1.0		uberon:0002682 mesh:D065827
uberon:0002684	skos:exactMatch	mesh:D065849	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D065849	skos:exactMatch	uberon:0002684	semapv:MappingInversion	biomappings			1.0		uberon:0002684 mesh:D065849
uberon:0002689	skos:exactMatch	bto:0006268	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0003-4423-4370	
bto:0006268	skos:exactMatch	uberon:0002689	semapv:MappingInversion	biomappings			1.0		uberon:0002689 bto:0006268
uberon:0002707	skos:exactMatch	bto:0006132	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0003-4423-4370	
bto:0006132	skos:exactMatch	uberon:0002707	semapv:MappingInversion	biomappings			1.0		uberon:0002707 bto:0006132
uberon:0002714	skos:exactMatch	bto:0006159	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0003-4423-4370	
bto:0006159	skos:exactMatch	uberon:0002714	semapv:MappingInversion	biomappings			1.0		uberon:0002714 bto:0006159
uberon:0002743	skos:exactMatch	mesh:D066187	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0001-9439-5346	
mesh:D066187	skos:exactMatch	uberon:0002743	semapv:MappingInversion	biomappings			1.0		uberon:0002743 mesh:D066187
uberon:0002751	skos:exactMatch	bto:0006175	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0003-4423-4370	
bto:0006175	skos:exactMatch	uberon:0002751	semapv:MappingInversion	biomappings			1.0		uberon:0002751 bto:0006175
uberon:0002752	skos:exactMatch	bto:0006157	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0003-4423-4370	
bto:0006157	skos:exactMatch	uberon:0002752	semapv:MappingInversion	biomappings			1.0		uberon:0002752 bto:0006157
uberon:0002769	skos:exactMatch	bto:0006177	semapv:ManualMappingCuration	biomappings	0.3.8.dev0	CC0	0.999	orcid:0000-0003-4423-4370	
bto:0006177	skos:exactMatch	uberon:0002769	semapv:MappingInversion	biomappings			1.0		uberon:0002769 bto:0006177
